Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,Population_2021,Road_Connection,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-176.64029588,51.86824598,Adak,2nd Class City,Community,Aleutians West Census Area,179,No,Yes,Yes,Yes
-176.64029588,51.86824598,Adak Station,Unincorporated,Place of Interest,Aleutians West Census Area,0,No,No,No,No
-152.77029002,58.0069396100001,Afognak,Locality,Place of Interest,Kodiak Island Borough,0,No,Yes,No,No
-154.17324554,56.9468146400001,Akhiok,2nd Class City,Community,Kodiak Island Borough,58,No,Yes,Yes,Yes
-161.44909474,60.91380831,Akiachak,Unincorporated CDP,Community,Bethel Census Area,660,No,Yes,No,Yes
-161.23000172,60.90749213,Akiak,2nd Class City,Community,Bethel Census Area,479,No,Yes,No,Yes
-165.77353925,54.13431811,Akutan,2nd Class City,Community,Aleutians East Borough,1588,No,Yes,Yes,Yes
-164.66754759,62.6869771400001,Alakanuk,2nd Class City,Community,Kusilvak Census Area,737,No,Yes,No,Yes
-152.70131499,66.55452803,Alatna,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,17,No,Yes,No,Yes
-141.010596,62.6221071900001,Alcan Border,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,39,Yes,Yes,No,No
-158.62162503,59.2792073700001,Aleknagik,2nd Class City,Community,Dillingham Census Area,238,No,Yes,No,Yes
-152.88103859,58.0041020100001,Aleneva,CDP,Place of Interest,Kodiak Island Borough,8,No,Yes,No,No
-150.5990608,61.4142118500001,Alexander Creek,Locality,Place of Interest,Matanuska-Susitna Borough,0,No,No,No,No
-152.64948048,66.56004842,Allakaket,2nd Class City,Community,Yukon-Koyukuk Census Area,167,No,Yes,No,Yes
-150.92471164,70.34435668,Alpine,Locality,Place of interest,North Slope Borough,0,No,No,No,No
-157.85652784,67.0864707800001,Ambler,2nd Class City,Community,Northwest Arctic Borough,255,No,Yes,No,Yes
-151.73586607,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,North Slope Borough,410,No,Yes,No,Yes
-151.83401493,59.7764369000001,Anchor Point,CDP,Community,Kenai Peninsula Borough,2148,Yes,No,No,No
-149.89484742,61.21627757,Anchorage,Unified Home Rule Borough,Community,Municipality of Anchorage,289697,Yes,No,No,No
-149.19078163,64.34335795,Anderson,2nd Class City,Community,Denali Borough,227,Yes,Yes,No,No
-163.19113404,62.0472013200001,Andreafsky,Unincorporated,Place of Interest,Kusilvak Census Area,101,No,Yes,No,No
-134.58084625,57.4995695000001,Angoon,2nd Class City,Community,Hoonah-Angoon Census Area,360,No,Yes,Yes,Yes
-159.52759488,61.5787638800001,Aniak,2nd Class City,Community,Bethel Census Area,494,No,Yes,No,Yes
-160.1993288,62.65252995,Anvik,2nd Class City,Community,Yukon-Koyukuk Census Area,61,No,Yes,No,Yes
-145.53554078,68.12846168,Arctic Village,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,139,No,Yes,No,Yes
-174.20019881,52.1978076400001,Atka,2nd Class City,Community,Aleutians West Census Area,59,No,Yes,Yes,Yes
-162.27641211,60.8572982700001,Atmautluak,Unincorporated CDP,Community,Bethel Census Area,370,No,Yes,No,Yes
-157.4235473,70.48213652,Atqasuk,2nd Class City,Community,North Slope Borough,289,No,Yes,No,Yes
173.17080016,52.82597479,Attu Station,Unincorporated CDP,Place of Interest,Aleutians West Census Area,0,No,Yes,No,No
-134.67008238,58.3701947600001,Auke Bay,Locality,Place of Interest,City and Borough of Juneau,5259,No,No,No,No
-154.53419499,57.1975730600001,Ayakulik,Locality,Place of Interest,Kodiak Island Borough,0,No,No,No,No
-147.41261495,64.80456701,Badger,CDP,Place of Interest,Fairbanks North Star Borough,19000,Yes,Yes,No,No
-149.40230311,60.1685445700001,Bear Creek,CDP,Community,Kenai Peninsula Borough,2067,Yes,Yes,No,No
-147.39714881,66.3603484600001,Beaver,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,56,No,Yes,No,Yes
-162.03122768,55.08749807,Belkofski,Locality,Place of Interest,Aleutians East Borough,2,No,Yes,No,No
-151.04303622,61.1721485100001,Beluga,CDP,Place of Interest,Kenai Peninsula Borough,35,No,Yes,No,No
-161.77177087,60.7911992000001,Bethel,2nd Class City,Community,Bethel Census Area,6362,No,No,No,Yes
-151.50835587,66.92186904,Bettles,2nd Class City,Community,Yukon-Koyukuk Census Area,22,No,Yes,No,No
-145.83455566,64.1472131900001,Big Delta,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,438,Yes,No,No,No
-149.81915873,61.5522787300001,Big Lake,CDP,Community,Matanuska-Susitna Borough,3946,Yes,No,No,No
-133.08464582,55.5574327800001,Big Salt,Unincorporated,Community,Prince of Wales-Hyder Census Area,27,No,No,No,No
-163.77834136,62.9503685000001,Bill Moore's Slough,Unincorporated,Place of Interest,Kusilvak Census Area,0,No,Yes,No,No
-145.8179463,66.2629693000001,Birch Creek,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,32,No,Yes,No,Yes
-149.49656774,61.40880422,Birchwood,Locality,Place of Interest,Municipality of Anchorage,0,Yes,No,No,No
-166.4922015,65.3344880500001,Brevig Mission,2nd Class City,Community,Nome Census Area,414,No,Yes,No,Yes
-161.12902024,65.9776538400001,Buckland,2nd Class City,Community,Northwest Arctic Borough,573,No,Yes,No,Yes
-149.01110337,61.69132433,Buffalo Soapstone,CDP,Community,Matanuska-Susitna Borough,1042,Yes,Yes,No,No
-149.03543549,61.54162777,Butte,CDP,Community,Matanuska-Susitna Borough,3545,Yes,No,No,No
-161.92782082,65.9126150000001,Candle,Locality,Place of Interest,Northwest Arctic Borough,0,No,No,No,No
-148.89538626,63.39242527,Cantwell,CDP,Community,Denali Borough,196,Yes,Yes,No,Yes
-142.10081923,67.14753403,Canyon Village,Unincorporated,Place of interest,Yukon-Koyukuk Census Area,0,No,No,No,No
-166.21260212,68.8801672700001,Cape Lisburne,Locality,Place of Interest,North Slope Borough,0,No,No,No,No
-149.971789,62.0168980000001,Caswell,Locality,Place of Interest,Matanuska-Susitna Borough,0,,No,No,No
-144.82193545,65.57070889,Central,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,64,Yes,Yes,Yes,No
-143.7278962,66.65040098,Chalkyitsik,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,52,No,Yes,No,Yes
-150.0512588,62.44980587,Chase,CDP,Community,Matanuska-Susitna Borough,19,No,No,No,No
