Year,District Enrollment,School District
2013,1992,(Not Available)
2014,1628,(Not Available)
2015,1645,(Not Available)
2016,1653,(Not Available)
2017,1595,(Not Available)
2018,275,(Not Available)
2019,1713,(Not Available)
2020,988,(Not Available)
2021,470,(Not Available)
2021,399,Alaska Gateway
2013,377,Alaska Gateway School District
2014,422,Alaska Gateway School District
2015,399,Alaska Gateway School District
2016,412,Alaska Gateway School District
2017,396,Alaska Gateway School District
2018,402,Alaska Gateway School District
2019,382,Alaska Gateway School District
2020,389,Alaska Gateway School District
2021,25,Aleutian Region
2013,25,Aleutian Region School District
2014,35,Aleutian Region School District
2015,36,Aleutian Region School District
2016,35,Aleutian Region School District
2017,25,Aleutian Region School District
2018,25,Aleutian Region School District
2019,18,Aleutian Region School District
2020,28,Aleutian Region School District
2021,206,Aleutians East
2013,233,Aleutians East Borough School District
2014,213,Aleutians East Borough School District
2015,217,Aleutians East Borough School District
2016,220,Aleutians East Borough School District
2017,217,Aleutians East Borough School District
2018,208,Aleutians East Borough School District
2019,214,Aleutians East Borough School District
2020,219,Aleutians East Borough School District
2013,47756,Anchorage School District
2014,47326,Anchorage School District
2015,47206,Anchorage School District
2016,47439,Anchorage School District
2017,47514,Anchorage School District
2018,46878,Anchorage School District
2019,46142,Anchorage School District
2020,45112,Anchorage School District
2021,41437,Anchorage School District
2013,286,Annette Island School District
2014,289,Annette Island School District
2015,359,Annette Island School District
2016,307,Annette Island School District
2017,301,Annette Island School District
2018,325,Annette Island School District
2019,299,Annette Island School District
2020,287,Annette Island School District
2021,311,Annette Island School District
2013,1658,Bering Strait School District
2014,1660,Bering Strait School District
2015,1664,Bering Strait School District
2016,1685,Bering Strait School District
2017,1767,Bering Strait School District
2018,1774,Bering Strait School District
2019,1772,Bering Strait School District
2020,1717,Bering Strait School District
2021,1727,Bering Strait School District
2013,142,Bristol Bay Borough School District
2014,139,Bristol Bay Borough School District
2015,123,Bristol Bay Borough School District
2016,123,Bristol Bay Borough School District
2017,117,Bristol Bay Borough School District
2018,119,Bristol Bay Borough School District
2019,107,Bristol Bay Borough School District
2020,111,Bristol Bay Borough School District
2021,119,Bristol Bay Borough School District
2013,146,Chatham School District
2014,148,Chatham School District
2015,168,Chatham School District
2016,168,Chatham School District
2017,166,Chatham School District
2018,182,Chatham School District
2019,166,Chatham School District
2020,152,Chatham School District
2021,144,Chatham School District
2013,270,Chugach School District
2014,274,Chugach School District
2015,271,Chugach School District
2016,325,Chugach School District
2017,367,Chugach School District
2018,391,Chugach School District
2019,471,Chugach School District
2020,468,Chugach School District
2021,653,Chugach School District
2013,490,Copper River School District
2014,447,Copper River School District
2015,441,Copper River School District
2016,425,Copper River School District
2017,444,Copper River School District
2018,438,Copper River School District
2019,449,Copper River School District
2020,455,Copper River School District
2021,392,Copper River School District
2013,322,Cordova City School District
2014,315,Cordova City School District
2015,334,Cordova City School District
2016,356,Cordova City School District
2017,313,Cordova City School District
2018,325,Cordova City School District
2019,329,Cordova City School District
2020,325,Cordova City School District
2021,290,Cordova City School District
2013,635,Craig City School District
2014,586,Craig City School District
2015,573,Craig City School District
2016,525,Craig City School District
2017,537,Craig City School District
2018,497,Craig City School District
2019,514,Craig City School District
2020,564,Craig City School District
2021,874,Craig City School District
2013,655,Delta/Greely School District
2014,653,Delta/Greely School District
2015,624,Delta/Greely School District
2016,430,Delta/Greely School District
2017,447,Delta/Greely School District
2018,622,Delta/Greely School District
2019,617,Delta/Greely School District
2020,781,Delta/Greely School District
2021,533,Delta/Greely School District
2013,896,Denali Borough School District
2014,874,Denali Borough School District
2015,882,Denali Borough School District
2016,876,Denali Borough School District
2017,866,Denali Borough School District
