SchoolDistrict,Graduates,In_Cohort,Rate,Year
Alaska Gateway School District,9,21,0.4286,2015
Aleutian Region School District,1,2,0.5,2015
Aleutians East Borough School District,14,17,0.8235,2015
Anchorage School District,2763,3446,0.8018,2015
Annette Island School District,15,21,0.7143,2015
Bering Strait School District,83,99,0.8384,2015
Bristol Bay Borough School District,5,8,0.625,2015
Chatham School District,10,15,0.6667,2015
Chugach School District,15,20,0.75,2015
Copper River School District,27,35,0.7714,2015
Cordova City School District,23,25,0.92,2015
Craig City School District,26,46,0.5652,2015
Delta/Greely School District,35,50,0.7,2015
Denali Borough School District,23,51,0.451,2015
Dillingham City School District,27,36,0.75,2015
Fairbanks North Star Borough School District,712,945,0.7534,2015
Galena City School District,238,319,0.7461,2015
Haines Borough School District,20,23,0.8696,2015
Hoonah City School District,5,6,0.8333,2015
Hydaburg City School District,1,2,0.5,2015
Iditarod Area School District,9,16,0.5625,2015
Juneau Borough School District,286,370,0.773,2015
Kake City School District,4,5,0.8,2015
Kashunamiut School District,8,15,0.5333,2015
Kenai Peninsula Borough School District,604,739,0.8173,2015
Ketchikan Gateway Borough School District,160,208,0.7692,2015
Klawock City School District,12,12,1.0,2015
Kodiak Island Borough School District,188,210,0.8952,2015
Kuspuk School District,15,19,0.7895,2015
Lake and Peninsula Borough School District,25,28,0.8929,2015
Lower Kuskokwim School District,128,240,0.5333,2015
Lower Yukon School District,80,134,0.597,2015
Matanuska-Susitna Borough School District,1055,1360,0.7757,2015
Mt. Edgecumbe High School,90,92,0.9783,2015
Nenana City School District,65,219,0.2968,2015
Nome Public Schools,37,48,0.7708,2015
North Slope Borough School District,65,93,0.6989,2015
Northwest Arctic Borough School District,83,111,0.748,2015
Pelican City School District,1,1,1.0,2015
Petersburg Borough School District,30,33,0.9091,2015
Pribilof School District,6,7,0.8571,2015
Saint Mary's School District,11,16,0.6875,2015
Sitka School District,65,97,0.6701,2015
Skagway School District,3,3,1.0,2015
Southeast Island School District,15,17,0.8824,2015
Southwest Region School District,30,52,0.5769,2015
Tanana City School District,2,4,0.5,2015
Unalaska City School District,36,38,0.9474,2015
Valdez City School District,42,61,0.6885,2015
Wrangell Public School District,21,24,0.875,2015
Yakutat School District,6,7,0.8571,2015
Yukon Flats School District,11,18,0.6111,2015
Yukon-Koyukuk School District,58,161,0.3602,2015
Yupiit School District,16,31,0.5161,2015
Alaska Gateway School District,14,30,0.4667,2016
Aleutian Region School District,2,2,1.0,2016
Aleutians East Borough School District,11,14,0.7857,2016
Anchorage School District,2735,3432,0.7969,2016
Annette Island School District,18,21,0.8571,2016
