Longitude,Latitude,Community,IncorporationType,AreaType,Population,Source,Year
-135.884444,59.40389,Haines CDP,CDP,CDP,1797,2011 Department of Labor Estimates,2011
-156.7610097,71.2893977300001,Utqiagvik,1st Class City,Community,4437,DCCED Commissioner Certified,2011
-145.7239404,63.9918179900001,Fort Greely,Unincorporated CDP,Place of Interest,539,DOLWD Estimate,2011
-145.8179463,66.2629693000001,Birch Creek,Unincorporated CDP,Community,33,DOLWD Estimate,2011
-133.2026781,55.86896699,Naukati Bay,Unincorporated CDP,Community,113,DOLWD Estimate,2011
-149.0907414,64.56270921,Nenana,Home Rule City,Community,417,DCCED Commissioner Certified,2011
-164.6675476,62.6869771400001,Alakanuk,2nd Class City,Community,683,DCCED Commissioner Certified,2011
-131.6480233,55.3424333300001,Ketchikan,Home Rule City,Community,8142,DCCED Commissioner Certified,2011
-166.0964332,61.5308796900001,Hooper Bay,2nd Class City,Community,1137,DCCED Commissioner Certified,2011
-151.7358661,68.1418507700001,Anaktuvuk Pass,2nd Class City,Community,325,DCCED Commissioner Certified,2011
-151.8317244,59.3515619300001,Port Graham,CDP,Community,177,DOLWD Estimate,2011
-155.5883531,62.9501408500001,McGrath,2nd Class City,Community,341,DCCED Commissioner Certified,2011
-163.1576184,59.8770966700001,Kwigillingok,Unincorporated CDP,Community,321,DOLWD Estimate,2011
-149.808407,60.4948727600001,Cooper Landing,CDP,Community,289,DOLWD Estimate,2011
-159.05493,58.97954187,Manokotak,2nd Class City,Community,450,DCCED Commissioner Certified,2011
-151.1425755,60.4866414200001,Kalifornsky,CDP,Community,7850,DOLWD Estimate,2011
-146.5882565,62.29986189,Lake Louise,CDP,Community,46,DOLWD Estimate,2011
-176.6402959,51.86824598,Adak,2nd Class City,Community,331,DCCED Commissioner Certified,2011
-141.0457864,64.74518901,Eagle Village,Unincorporated CDP,Community,67,DOLWD Estimate,2011
-156.8575019,59.11246319,Levelock,CDP,Community,69,DOLWD Estimate,2011
-159.5275949,61.5787638800001,Aniak,2nd Class City,Community,539,DCCED Commissioner Certified,2011
-165.5905277,61.5286181800001,Chevak,2nd Class City,Community,966,DCCED Commissioner Certified,2011
-161.8147503,59.00848275,Platinum,2nd Class City,Community,67,DCCED Commissioner Certified,2011
-149.0058449,63.8703844300001,Healy,CDP,Community,1021,DOLWD Estimate,2011
-149.3695472,60.41930962,Crown Point,CDP,Community,74,DOLWD Estimate,2011
-149.1177581,61.5997057600001,Palmer,Home Rule City,Community,6087,DCCED Commissioner Certified,2011
-144.8219354,65.57070889,Central,Unincorporated CDP,Community,96,DOLWD Estimate,2011
-157.7198137,58.9051910300001,Portage Creek,Unincorporated CDP,Place of Interest,2,DOLWD Estimate,2011
-150.9159762,59.8535156300001,Fox River,CDP,Place of Interest,685,DOLWD Estimate,2011
-163.7262756,62.08954141,Mountain Village,2nd Class City,Community,835,DCCED Commissioner Certified,2011
-164.7299664,60.4799803000001,Nightmute,2nd Class City,Community,289,DCCED Commissioner Certified,2011
-155.9035402,59.32534731,Igiugig,CDP,Community,50,DOLWD Estimate,2011
-156.8823728,66.9077009200001,Kobuk,2nd Class City,Community,148,DCCED Commissioner Certified,2011
-158.724932,64.3265639300001,Kaltag,2nd Class City,Community,205,DCCED Commissioner Certified,2011
-162.9885,67.5718168000001,Noatak,CDP,Community,514,DOLWD Estimate,2011
-161.1290202,65.9776538400001,Buckland,2nd Class City,Community,437,DCCED Commissioner Certified,2011
-157.2856959,59.7264073700001,Koliganek,Unincorporated CDP,Community,209,DOLWD Estimate,2011
-156.3947017,65.70183545,Huslia,2nd Class City,Community,299,DCCED Commissioner Certified,2011
-158.0075,62.4536000000001,Flat,Unincorporated CDP,Place of Interest,0,DOLWD Estimate,2011
-163.0367115,64.5423909500001,Golovin,2nd Class City,Community,171,DCCED Commissioner Certified,2011
-164.8520039,62.5310651300001,Nunam Iqua,2nd Class City,Community,190,DCCED Commissioner Certified,2011
-148.8953863,63.39242527,Cantwell,CDP,Community,219,DOLWD Estimate,2011
-145.4960007,63.0324502400001,Paxson,Unincorporated CDP,Community,40,DOLWD Estimate,2011
-133.9447988,56.9744498800001,Kake,1st Class City,Community,579,DCCED Commissioner Certified,2011
-162.8831358,61.9372025100001,Pilot Station,2nd Class City,Community,583,DCCED Commissioner Certified,2011
-150.0512588,62.44980587,Chase,CDP,Community,34,DOLWD Estimate,2011
-151.5083559,66.92186904,Bettles,2nd Class City,Community,14,DCCED Commissioner Certified,2011
-165.7735393,54.13431811,Akutan,2nd Class City,Community,1040,DCCED Commissioner Certified,2011
-151.5320066,59.64718757,Homer,1st Class City,Community,5051,DCCED Commissioner Certified,2011
-157.0199138,58.72821587,Naknek,CDP,Community,544,DOLWD Estimate,2011
-148.9409266,61.4971211500001,Knik River,CDP,Community,744,DOLWD Estimate,2011
-157.3112886,59.4515508600001,New Stuyahok,2nd Class City,Community,501,DCCED Commissioner Certified,2011
-161.7713652,60.7226475400001,Oscarville,Unincorporated CDP,Community,70,DOLWD Estimate,2011
-164.5399655,67.7273868300001,Kivalina,2nd Class City,Community,386,DCCED Commissioner Certified,2011
-144.4411179,61.5164902700001,Chitina,Unincorporated CDP,Community,126,DOLWD Estimate,2011
-132.8235136,55.2059259000001,Hydaburg,1st Class City,Community,406,DCCED Commissioner Certified,2011
-141.010596,62.6221071900001,Alcan Border,Unincorporated CDP,Place of Interest,33,DOLWD Estimate,2011
-141.9336488,64.0726259100001,Chicken,Unincorporated CDP,Place of Interest,7,DOLWD Estimate,2011
-150.9990162,70.21731414,Nuiqsut,2nd Class City,Community,434,DCCED Commissioner Certified,2011
-136.3454861,58.19391484,Elfin Cove,Unincorporated CDP,Community,20,DOLWD Estimate,2011
-149.2399694,61.5740853200001,Gateway,CDP,Community,5552,DOLWD Estimate,2011
-135.989808,59.3937181100001,Covenant Life,CDP,Place of Interest,86,DOLWD Estimate,2011
-154.375216,63.01373203,Nikolai,2nd Class City,Community,101,DCCED Commissioner Certified,2011
-145.5374067,63.9822426900001,Gold Sand Acres,Unincorporated,Community,0,DOLWD Estimate,2011
-145.7601749,60.54406292,Cordova,Home Rule City,Community,2289,DCCED Commissioner Certified,2011
-144.947406,61.7374181000001,Kenny Lake,Unincorporated CDP,Community,355,DOLWD Estimate,2011
-157.3757505,58.2090702300001,Egegik,2nd Class City,Community,113,DCCED Commissioner Certified,2011
-133.6581577,55.9551227100001,Edna Bay,Unincorporated CDP,Community,50,DOLWD Estimate,2011
-135.338623,57.0490212600001,Sitka,Unified Home Rule Borough,Community,8985,DCCED Commissioner Certified,2011
-149.8948474,61.21627757,Anchorage,Unified Home Rule Borough,Community,296197,DCCED Commissioner Certified,2011
-134.6469956,56.2492376800001,Port Alexander,2nd Class City,Community,62,DCCED Commissioner Certified,2011
-154.2582191,66.0458727800001,Hughes,2nd Class City,Community,78,DCCED Commissioner Certified,2011
-158.1053547,64.7234193800001,Nulato,2nd Class City,Community,275,DCCED Commissioner Certified,2011
-151.5575,59.6761111000001,Diamond Ridge,CDP,Community,1156,DOLWD Estimate,2011
-147.7260063,61.79346959,Glacier View,CDP,Community,234,DOLWD Estimate,2011
-152.314687,63.88261006,Lake Minchumina,Unincorporated CDP,Place of Interest,13,DOLWD Estimate,2011
-164.6294162,60.93686382,Newtok,Unincorporated CDP,Community,354,DOLWD Estimate,2011
-141.9517,62.9822,Northway Village,Unincorporated CDP,Community,98,DOLWD Estimate,2011
-150.7622222,60.5019444000001,Funny River,CDP,Community,877,DOLWD Estimate,2011
-164.2803406,60.1580149500001,Chefornak,2nd Class City,Community,437,DCCED Commissioner Certified,2011
-158.4141558,56.3012632000001,Chignik,2nd Class City,Community,102,DCCED Commissioner Certified,2011
-163.5565366,63.0331139900001,Kotlik,2nd Class City,Community,601,DCCED Commissioner Certified,2011
-149.6035519,61.62425754,Meadow Lakes,CDP,Community,7570,DOLWD Estimate,2011
-156.8771232,64.7426528600001,Galena,1st Class City,Community,487,DCCED Commissioner Certified,2011
-153.9814353,57.5370683300001,Larsen Bay,2nd Class City,Community,89,DCCED Commissioner Certified,2011
