Longitude,Latitude,Community,School,SchoolDistrict,Year,In_Cohort,Graduates,GraduationRate,K8Enrollment,HSEnrollment,TotalEnrollmentK12,Is_HighSchool,TotalTeacherCount,StudentTeacherRatio
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,Anchorage School District,2013,,,,395,0,395,No,25,17.7
-149.09408071,61.60720331,Palmer,Academy Charter School,Matanuska-Susitna Borough School District,2013,,,,238,0,238,No,18,19.1
-176.640203387,51.867664962,Adak,Adak School,Aleutian Region School District,2013,,,,14,1,15,Yes,4,5
-149.829872532,61.207023732,Anchorage,Airport Heights Elementary,Anchorage School District,2013,,,,328,0,328,No,23,15.1
-154.173244179,56.9468177750001,Akhiok,Akhiok School,Kodiak Island Borough School District,2013,,,,14,6,20,Yes,2,9.6
-161.449090795,60.913809244,Akiachak,Akiachak School,Yupiit School District,2013,,,,135,46,181,Yes,20,9.4
-161.23002391,60.9074919770001,Akiak,Akiak School,Yupiit School District,2013,,,,83,19,102,Yes,13,7.9
-162.519466063,60.894574671,Kasigluk,Akiuk Memorial School,Lower Kuskokwim School District,2013,,,,60,11,71,Yes,9,11.1
-162.519466063,60.894574671,Kasigluk,Akula Elitnaurvik School,Lower Kuskokwim School District,2013,,,,98,27,125,Yes,8,15.2
-165.776777641,54.1337647660001,Akutan,Akutan School,Aleutians East Borough School District,2013,,,,10,4,14,Yes,2,7
-160.034288564,70.6360944480001,Wainwright,Alak School,North Slope Borough School District,2013,,,,100,37,137,Yes,15,8.9
-164.621576459,62.687086047,Alakanuk,Alakanuk School,Lower Yukon School District,2013,,,,179,46,225,Yes,16,13.9
-149.832593331,61.1929544540001,Anchorage,Alaska Middle College School,(Not Available),2013,,,,0,37,37,Yes,(Not Available),(Not Available)
-149.804991646,61.1997721970001,Anchorage,Alaska Native Cultural Charter School,Anchorage School District,2013,,,,203,0,203,No,14,14.9
-142.985758994,63.3368597890001,Tok,Alaska REACH Academy,Alaska Gateway School District,2013,,,,40,29,69,Yes,1,80.1
-131.57724653,55.1262152410001,Wrangell,Alaska Virtual Academy,Wrangell Public School District,2013,,,,89,0,89,No,1,1644.5
-158.626155241,59.281203067,Aleknagik,Aleknagik School,Southwest Region School District,2013,,,,27,0,27,No,3,9.2
-160.475598673,55.351589017,Sand Point,Aleutians Correspondence Education School,Aleutians East Borough School District,2013,,,,2,1,3,Yes,0,0
-152.644474882,66.5632756000001,New Allakaket,Allakaket School,Yukon-Koyukuk School District,2013,,,,27,12,39,Yes,4,10.1
-149.524370471,61.3012472240001,Anchorage,Alpenglow Elementary,Anchorage School District,2013,,,,564,0,564,No,32,17.8
