Year,TotalSchoolCount,Kindergarten,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eighth Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade
2013,491,10457,10274,9967,9858,9668,9548,9800,9557,9502,9625,9346,9491,9526
2014,481,9972,9832,9455,9298,9184,9000,9051,9179,9101,9465,8864,9157,9004
2015,493,10471,10555,10318,9980,9746,9596,9428,9387,9583,9779,9463,9255,9547
2016,496,10371,10517,10470,10373,10052,9748,9582,9414,9287,9780,9518,9464,9488
2017,501,10320,10483,10566,10528,10346,10149,9780,9607,9419,9627,9607,9700,9794
2018,499,10057,10107,10201,10270,10265,10084,10048,9782,9524,9612,9318,9569,9930
2019,501,10111,10190,10178,10299,10412,10394,10178,9873,9652,9670,9251,9275,9949
2020,498,10054,9945,10043,10042,10143,10255,10238,10033,9785,9790,9388,9266,9606
2021,496,9386,9896,9803,9873,9911,9897,10123,10075,9832,9856,9481,9264,9479
2022,498,9790,9633,9846,9831,9870,9925,9883,10079,10037,10105,9532,9523,9455
